model,score,timestep,number_of_edges_pos,number_of_edges_neg,test_agg,duplicate_edges,predictor,loss_func,method,dataset,metric
GraphConv,48.65,126780,81,81,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,49.0,126800,72,72,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,55.61,126820,89,89,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,51.88,126840,86,86,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,53.86,126860,92,92,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,49.01,126880,82,82,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,47.58,126900,91,91,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,50.67,126920,83,83,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,52.51,126940,97,97,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,55.01,126960,98,98,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,54.55,126980,77,77,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,54.58,127000,69,69,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,50.41,127020,74,74,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,51.85,127040,83,83,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,58.11,127060,83,83,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,57.4,127080,79,79,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,52.76,127100,84,84,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,49.86,127120,94,94,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,54.07,127140,85,85,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,50.49,127160,83,83,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,52.68,127180,82,82,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,56.09,127200,88,88,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,50.77,127220,73,73,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,51.57,127240,84,84,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,56.37,127260,78,78,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,55.46,127280,73,73,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,52.53,127300,78,78,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,55.13,127320,89,89,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,54.47,127340,84,84,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
GraphConv,51.34,127360,94,94,False,False,dotProduct,BCEWithLogits,agg_simp,SF2H,auc
