SF2H, DotPredictor(), agg_simp, kendall@10, 0.03338100534985963, 0.2982755988544623
SF2H, DotPredictor(), agg_simp, kendall@10, 0.035859950209227186, 0.26383131964380413
SF2H, DotPredictor(), agg, kendall@10, -0.025033105567032154, 0.43537834598910685
SF2H, DotPredictor(), agg, kendall@10, -0.01676995603580698, 0.6012909642574484
SF2H, DotPredictor(), temporal_edges, kendall@10, 0.1023041474654378, 0.0014338186455717012
SF2H, DotPredictor(), time_tensor, kendall@10, 0.011155251867153982, 0.7281458146564939
SF2H, DotPredictor(), DTFT, kendall@10, 0.00859155675618412, 0.7889230296765247
HighSchool, DotPredictor(), agg_simp, kendall@10, -0.07987032124963157, 0.20168139014130881
HighSchool, DotPredictor(), agg_simp, kendall@10, 0.020630710285882696, 0.7415552413651718
HighSchool, DotPredictor(), agg, kendall@10, 0.004715590922487474, 0.9399110981200874
HighSchool, DotPredictor(), agg, kendall@10, 0.0067786619510757425, 0.9137092960280973
HighSchool, DotPredictor(), temporal_edges, kendall@10, 0.11730032419687592, 0.06077658587594898
HighSchool, DotPredictor(), time_tensor, kendall@10, -0.03743000294724432, 0.5496121211273348
HighSchool, DotPredictor(), DTFT, kendall@10, -0.12614205717653992, 0.043752124952973204
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@10, 1.0, 0.3333333333333333
ia-contacts_hypertext2009, DotPredictor(), agg_simp, kendall@10, 1.0, 0.3333333333333333
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@10, 1.0, 0.3333333333333333
ia-contacts_hypertext2009, DotPredictor(), agg, kendall@10, 1.0, 0.3333333333333333
ia-contacts_hypertext2009, DotPredictor(), temporal_edges, kendall@10, 1.0, 0.3333333333333333
ia-contacts_hypertext2009, DotPredictor(), time_tensor, kendall@10, 1.0, 0.3333333333333333
ia-contacts_hypertext2009, DotPredictor(), DTFT, kendall@10, 1.0, 0.3333333333333333
SF2H, DotPredictor(), temporal_edges, kendall@10, 0.11857619577308122, 0.0002200724478947801
SF2H, DotPredictor(), time_tensor, kendall@10, 0.007510991048254674, 0.8149543945229858
SF2H, DotPredictor(), temporal_edges, kendall@10, 0.04965305365750305, 0.12182255807309555
SF2H, DotPredictor(), agg, kendall@10, -0.005010858625986546, 0.8759255888105555
SF2H, DotPredictor(), time_tensor, kendall@10, 0.018316648127549132, 0.5681764210490825
SF2H, CosinePredictor(), agg, kendall@10, 0.011134064304253405, 0.7286417518231898
SF2H, CosinePredictor(), temporal_edges, kendall@10, 0.035393823825414485, 0.27008926539296985
SF2H, CosinePredictor(), time_tensor, kendall@10, 0.022999099528576726, 0.47359471749172355
SF2H, CosinePredictor(), agg, kendall@10, 0.042470469834207325, 0.185714891562617
SF2H, CosinePredictor(), temporal_edges, kendall@10, 0.06378515811218814, 0.04686487656534256
SF2H, CosinePredictor(), time_tensor, kendall@10, -0.008697494570687008, 0.7863830657417664
